Motif ID,Mean,STD
2686,0.0001263026215910407,0.0001346051299708256
2687,0.00019395074420226578,0.00022384623497496883
2683,0.00037434318810082053,0.00037722429543807229
563934,7.4683943997052581e-08,2.8989030919603616e-07
563935,1.0620677699383045e-07,5.3511557550634563e-07
528797,7.7123226206448921e-06,1.9350040144278021e-05
563933,5.4184733888340627e-07,1.5031051757311403e-06
563931,6.8182825685995611e-07,1.5662481971657571e-06
528799,8.0497032576780673e-07,4.5058836980953161e-06
528798,1.8072800462863703e-06,3.6924206088548047e-06
271085,1.6180212632329317e-06,3.1522133663041078e-06
71820,9.0734703185699816e-05,0.00010131151229953165
268635,5.1245302848601653e-07,1.2377367956634665e-06
268636,4.9279694897222682e-06,8.5646960187477227e-06
148638,2.5219571984736995e-06,4.5281765348906212e-06
148639,1.6906667341466198e-07,6.0430724481341431e-07
433086,1.7260680411694582e-07,5.3928623387402217e-07
33853,1.073320891770085e-05,1.183605576620346e-05
543471,1.400813556178141e-06,3.475170894269962e-06
33503,1.3782711983437566e-06,2.6765583957053386e-06
33501,2.4892931992134494e-05,3.449082165161757e-05
71756,4.9812473821537605e-05,6.4956431248247391e-05
575453,1.2938559849960583e-07,4.2480497333273861e-07
575451,2.5123135910339213e-08,1.4799382410313361e-07
575455,3.9752583102973742e-09,3.180206648237906e-08
17823,9.5216115352042146e-07,3.313857404721145e-06
17822,7.2309448929142504e-06,1.1937445910333478e-05
156655,9.9326371816554539e-08,3.0578316445278651e-07
27579,8.8604482560455117e-05,8.9664506447862882e-05
183227,1.7740771746576814e-06,4.9915995359491143e-06
27575,6.668004104724602e-06,1.3882153721303509e-05
137643,7.3804765398861138e-06,1.4196263364701115e-05
137646,1.3500329017648706e-06,3.6241976726993078e-06
83611,2.4413939844924325e-07,6.1440079061370354e-07
83614,4.7296833748115355e-07,1.1799259849811815e-06
1179,0.0010724424789380282,0.00081615568253649699
1006,0.00039345289750665106,0.00042764489570866731
