Motif,NL/AD,NL/MCI,MCI/CONV,AD/CONV,NL/ER(NL),NL/DD(NL),AD/DD(AD),AD/ER(AD)
296597,0.0444,0.4224,0.0052,0.4078,0.0002,0.0002,0.0002,0.0002
248526,0.4574,0.058,0.2634,0.3082,0.0002,0.1708,0.4728,0.0012
109150,0.4226,0.1726,0.2638,0.1554,0.0008,0.0,0.0,0.0274
563511,0.1684,0.1886,0.2142,0.3256,0.0002,0.3814,0.2118,0.0004
552061,0.4732,0.3734,0.2008,0.1504,0.0892,0.0,0.0,0.0204
50903,0.4588,0.4682,0.1096,0.0618,0.0828,0.0,0.0,0.0042
50907,0.1704,0.0954,0.2072,0.2726,0.0068,0.0,0.0,0.3676
50909,0.1248,0.0754,0.3252,0.1668,0.0002,0.0,0.0,0.0002
680942,0.2126,0.0266,0.4814,0.0926,0.0004,0.0976,0.4582,0.0062
173757,0.1488,0.171,0.3204,0.0946,0.0002,0.0008,0.4566,0.0002
559291,0.2704,0.0014,0.1226,0.2716,0.0002,0.2776,0.4624,0.0002
173693,0.2708,0.23,0.206,0.4002,0.0002,0.0,0.1788,0.0002
52859,0.2754,0.1332,0.0442,0.0514,0.0002,0.0,0.0064,0.0002
273115,0.4392,0.466,0.2224,0.2116,0.3254,0.0,0.0,0.1914
10846,0.4602,0.309,0.0014,0.0136,0.0024,0.0,0.0,0.0074
273117,0.0268,0.405,0.2698,0.2504,0.0002,0.09,0.0426,0.0002
52855,0.3844,0.4142,0.0818,0.3136,0.0002,0.016,0.0494,0.0002
35021,0.369,0.4712,0.3774,0.4272,0.0002,0.0042,0.0024,0.0002
541070,0.266,0.4154,0.3838,0.1684,0.0,0.0,0.0,0.0
50638,0.1668,0.4914,0.34,0.3316,0.0002,0.0,0.0002,0.0002
576163,0.1212,0.1456,0.139,0.2478,0.0002,0.0106,0.1078,0.0002
181111,0.4854,0.1508,0.3732,0.4688,0.0002,0.0382,0.374,0.0064
576167,0.1362,0.1108,0.1228,0.0116,0.0002,0.0,0.2112,0.0002
576166,0.359,0.042,0.2258,0.4724,0.0002,0.0,0.0088,0.0002
576165,0.2654,0.121,0.4498,0.2112,0.0002,0.0062,0.0576,0.0002
181118,0.3992,0.2152,0.1428,0.365,0.0002,0.022,0.0192,0.0002
5087,0.3182,0.4882,0.3472,0.2022,0.0002,0.0,0.0062,0.0004
576169,0.4878,0.0498,0.185,0.336,0.0002,0.0002,0.0002,0.0002
26218,0.102,0.0476,0.323,0.2962,0.0002,0.0452,0.0706,0.0002
141373,0.0276,0.318,0.354,0.2732,0.0,0.0,0.0,0.0
550510,0.4088,0.4046,0.1264,0.218,0.0002,0.0,0.0114,0.0048
550519,0.348,0.3932,0.328,0.379,0.0002,0.1176,0.149,0.0002
43422,0.3898,0.1518,0.4584,0.1724,0.0,0.0,0.0,0.0
560319,0.4518,0.3812,0.476,0.4486,0.0002,0.493,0.1264,0.0166
108910,0.1706,0.378,0.4582,0.1988,0.0318,0.0,0.0,0.3942
166383,0.0182,0.0364,0.2972,0.1196,0.0682,0.0,0.0,0.0474
140974,0.2612,0.202,0.0646,0.0096,0.0002,0.1034,0.0668,0.0002
551607,0.249,0.0936,0.3458,0.2966,0.0008,0.0816,0.0036,0.035
17663,0.198,0.4234,0.3714,0.1466,0.0002,0.4802,0.0344,0.0002
2123,0.0488,0.123,0.2052,0.4686,0.0,0.0,0.0004,0.0
2124,0.049,0.372,0.102,0.4476,0.0,0.0,0.0,0.0
2127,0.4616,0.3986,0.2782,0.3502,0.0,0.0,0.0,0.0
533435,0.218,0.102,0.42,0.3474,0.0002,0.0106,0.061,0.0002
52343,0.1624,0.4854,0.3002,0.2636,0.0002,0.4362,0.0894,0.0026
