Motif,NL/AD,NL/MCI,MCI/CONV,AD/CONV,NL/ER(NL),NL/DD(NL),AD/DD(AD),AD/ER(AD)
2126,0.0278,0.1562,0.0058,0.2652,0.0002,0.0002,0.0002,0.0002
2231,0.451,0.0988,0.2024,0.322,0.0002,0.0,0.153,0.0002
2230,0.0418,0.253,0.005,0.3854,0.0002,0.0002,0.0002,0.0002
879,0.0664,0.2624,0.4942,0.2348,0.0002,0.114,0.3554,0.0002
943,0.4032,0.2472,0.4186,0.4562,0.0002,0.0308,0.2832,0.0002
951,0.277,0.0842,0.3434,0.1098,0.0002,0.0002,0.0002,0.0002
1471,0.0406,0.1504,0.4816,0.2412,0.0002,0.2668,0.4666,0.0002
2163,0.0042,0.3572,0.0786,0.0566,0.0,0.0,0.0,0.0
351,0.004,0.044,0.2256,0.2724,0.0002,0.0,0.0,0.0002
2227,0.4938,0.0554,0.0648,0.399,0.0002,0.0,0.0,0.0002
687,0.2772,0.0244,0.2056,0.052,0.0002,0.003,0.005,0.0002
806,0.028,0.4102,0.0238,0.2868,0.0,0.0,0.0,0.0
