Motifs:     Frequencies:
430         0.00%
290535      0.00%
19116       0.00%
27750       0.00%
33591       0.00%
699086      0.00%
33517       0.00%
8861        0.00%
17559       0.00%
36055       0.00%
18303       0.00%
987         0.00%
33386       0.00%
974         0.00%
479         0.00%
463         0.00%
34687       0.00%
35427       0.00%
17631       0.00%
35566       0.00%
26350       0.00%
557469      0.00%
550639      0.00%
33337       0.00%
34206       0.00%
557807      0.00%
83084       0.00%
8906        0.00%
18519       0.00%
34222       0.00%
27818       0.00%
17038       0.00%
35927       0.00%
42702       0.00%
19711       0.00%
564430      0.00%
33518       0.00%
34359       0.00%
279213      0.00%
17557       0.00%
559155      0.00%
285022      0.00%
34815       0.00%
36223       0.00%
567015      0.00%
33965       0.00%
32767       0.00%
33181       0.00%
19663       0.00%
2683        0.00%
52351       0.00%
1595        0.00%
10349       0.00%
82972       0.00%
568557      0.00%
10939       0.00%
847597      0.00%
35447       0.00%
52719       0.00%
601         0.00%
17605       0.00%
559791      0.00%
33054       0.00%
35583       0.00%
559213      0.00%
532933      0.00%
51884       0.00%
559790      0.00%
543915      0.00%
557805      0.00%
35511       0.00%
550506      0.00%
33422       0.00%
698845      0.00%
18030       0.00%
39278       0.00%
838857      0.00%
8869        0.00%
36027       0.00%
33511       0.00%
3231        0.00%
544495      0.00%
19609       0.00%
34967       0.00%
50107       0.00%
281275      0.00%
559854      0.00%
35475       0.00%
35227       0.00%
2775        0.00%
52855       0.00%
36031       0.00%
576687      0.00%
148379      0.00%
39326       0.00%
38350       0.00%
559197      0.00%
139980      0.00%
315118      0.00%
33223       0.00%
559189      0.00%
560383      0.00%
165006      0.00%
9965        0.00%
550631      0.00%
445371      0.00%
17623       0.00%
533100      0.00%
550775      0.00%
550635      0.00%
812663      0.00%
137915      0.00%
576675      0.00%
18119       0.00%
297703      0.00%
10446       0.00%
165853      0.00%
50855       0.00%
50894       0.00%
567023      0.00%
2527        0.00%
19657       0.00%
35530       0.00%
560315      0.00%
33759       0.00%
69932       0.00%
576678      0.00%
17131       0.00%
33399       0.00%
18095       0.00%
9373        0.00%
3551        0.00%
19091       0.00%
550519      0.00%
567021      0.00%
17775       0.00%
557342      0.00%
557615      0.00%
9983        0.00%
35775       0.00%
830         0.00%
281253      0.00%
33390       0.00%
281758      0.00%
2943        0.00%
26239       0.00%
13277       0.00%
735         0.00%
699119      0.00%
282351      0.00%
248763      0.00%
2687        0.00%
557738      0.00%
26495       0.00%
297641      0.00%
297711      0.00%
558030      0.00%
19518       0.00%
1710        0.00%
530572      0.00%
35839       0.00%
18047       0.00%
33655       0.00%
10958       0.00%
534621      0.00%
26623       0.00%
5277        0.00%
18431       0.00%
8903        0.00%
557996      0.00%
281531      0.00%
52863       0.00%
559341      0.00%
297165      0.00%
36479       0.00%
50542       0.00%
34355       0.00%
281837      0.00%
72348       0.00%
9966        0.00%
557741      0.00%
33385       0.00%
34899       0.00%
28415       0.00%
281327      0.00%
35483       0.00%
6831        0.00%
559772      0.00%
285790      0.00%
26986       0.00%
22399       0.00%
297659      0.00%
33885       0.00%
575171      0.00%
146141      0.00%
17791       0.00%
297707      0.00%
557725      0.00%
9855        0.00%
52311       0.00%
33598       0.00%
69916       0.00%
550510      0.00%
19575       0.00%
559853      0.00%
11263       0.00%
814831      0.00%
50807       0.00%
140185      0.00%
560191      0.00%
34103       0.00%
1048575     0.00%
211933      0.00%
576563      0.00%
10327       0.00%
978943      0.00%
280669      0.00%
543902      0.00%
589823      0.00%
297915      0.00%
21887       0.00%
851967      0.00%
150171      0.00%
17127       0.00%
35767       0.00%
1339        0.00%
51949       0.00%
174831      0.00%
543983      0.00%
295739      0.00%
533743      0.00%
40319       0.00%
537463      0.00%
559223      0.00%
279212      0.00%
281804      0.00%
268965      0.00%
545591      0.00%
33751       0.00%
139977      0.00%
72284       0.00%
557803      0.00%
421615      0.00%
99932       0.00%
297390      0.00%
542110      0.00%
19118       0.00%
33979       0.00%
166587      0.00%
18859       0.00%
281775      0.00%
100716      0.00%
52447       0.00%
10239       0.00%
34539       0.00%
272590      0.00%
17061       0.00%
699631      0.00%
52319       0.00%
35388       0.00%
33886       0.00%
36287       0.00%
10973       0.00%
2395        0.00%
33515       0.00%
43007       0.00%
82988       0.00%
18026       0.00%
35383       0.00%
279277      0.00%
8902        0.00%
52445       0.00%
19647       0.00%
18115       0.00%
18359       0.00%
17870       0.00%
533077      0.00%
139724      0.00%
2750        0.00%
52607       0.00%
562638      0.00%
575075      0.00%
4701        0.00%
1005        0.00%
951         0.00%
51063       0.00%
575175      0.00%
33391       0.00%
139982      0.00%
150190      0.00%
279355      0.00%
839679      0.00%
139983      0.00%
17502       0.00%
44255       0.00%
18511       0.00%
6830        0.00%
35199       0.00%
18124       0.00%
166095      0.00%
18747       0.00%
34975       0.00%
35703       0.00%
35519       0.00%
560347      0.00%
173807      0.00%
573         0.00%
38783       0.00%
12031       0.00%
2463        0.00%
10989       0.00%
36059       0.00%
281325      0.00%
103790      0.00%
568551      0.00%
575207      0.00%
983039      0.00%
2749        0.00%
585471      0.00%
52862       0.00%
173799      0.00%
978687      0.00%
22990       0.00%
576767      0.00%
164494      0.00%
838911      0.00%
585727      0.00%
839423      0.00%
557806      0.00%
51823       0.00%
576670      0.00%
50526       0.00%
51175       0.00%
6823        0.00%
5853        0.00%
139933      0.00%
18862       0.00%
8942        0.00%
436973      0.00%
847615      0.00%
8650        0.00%
4765        0.00%
8799        0.00%
34047       0.00%
557737      0.00%
142028      0.00%
19643       0.00%
560319      0.00%
8541        0.00%
16718       0.00%
36567       0.00%
43743       0.00%
33187       0.00%
2399        0.00%
557883      0.00%
559534      0.00%
18118       0.00%
315117      0.00%
18043       0.00%
1007        0.00%
47103       0.00%
18655       0.00%
543851      0.00%
19615       0.00%
279227      0.00%
561151      0.00%
9311        0.00%
100494      0.00%
575180      0.00%
272428      0.00%
33166       0.00%
27373       0.00%
17501       0.00%
59255       0.00%
166045      0.00%
19611       0.00%
4445        0.00%
558047      0.00%
847871      0.00%
34015       0.00%
541839      0.00%
268859      0.00%
808350      0.00%
56703       0.00%
16782       0.00%
568555      0.00%
9951        0.00%
699117      0.00%
35385       0.00%
71756       0.00%
164525      0.00%
676727      0.00%
560895      0.00%
363         0.00%
61047       0.00%
35263       0.00%
271223      0.00%
575079      0.00%
16953       0.00%
33429       0.00%
17151       0.00%
530476      0.00%
297275      0.00%
699101      0.00%
281323      0.00%
17726       0.00%
17855       0.00%
17215       0.00%
288631      0.00%
543919      0.00%
166639      0.00%
33879       0.00%
812775      0.00%
38238       0.00%
575182      0.00%
4382        0.00%
34911       0.00%
33773       0.00%
17771       0.00%
574259      0.00%
420795      0.00%
51895       0.00%
18525       0.00%
59391       0.00%
576575      0.00%
136105      0.00%
18455       0.00%
51631       0.00%
52159       0.00%
36319       0.00%
34011       0.00%
35451       0.00%
74554       0.00%
33791       0.00%
104814      0.00%
8813        0.00%
315115      0.00%
272524      0.00%
23758       0.00%
9947        0.00%
33719       0.00%
577279      0.00%
82843       0.00%
10983       0.00%
2622        0.00%
16687       0.00%
282349      0.00%
51967       0.00%
19903       0.00%
315135      0.00%
290539      0.00%
575214      0.00%
91758       0.00%
560351      0.00%
2411        0.00%
35479       0.00%
531165      0.00%
56815       0.00%
2367        0.00%
61055       0.00%
17036       0.00%
21871       0.00%
40415       0.00%
6231        0.00%
294911      0.00%
700159      0.00%
59263       0.00%
104862      0.00%
36539       0.00%
576631      0.00%
576681      0.00%
17002       0.00%
19391       0.00%
576567      0.00%
280799      0.00%
51831       0.00%
2111        0.00%
39262       0.00%
268494      0.00%
1003        0.00%
557887      0.00%
19653       0.00%
142030      0.00%
36575       0.00%
559786      0.00%
91759       0.00%
18782       0.00%
549687      0.00%
541292      0.00%
71708       0.00%
272591      0.00%
559359      0.00%
577535      0.00%
28279       0.00%
18158       0.00%
82476       0.00%
569087      0.00%
629966      0.00%
150203      0.00%
298734      0.00%
557882      0.00%
533094      0.00%
42446       0.00%
838751      0.00%
8927        0.00%
100509      0.00%
33369       0.00%
166631      0.00%
575215      0.00%
35455       0.00%
576639      0.00%
838877      0.00%
43775       0.00%
19677       0.00%
100766      0.00%
44031       0.00%
574926      0.00%
50853       0.00%
52671       0.00%
560283      0.00%
33875       0.00%
50858       0.00%
575183      0.00%
55167       0.00%
8595        0.00%
4446        0.00%
139997      0.00%
40159       0.00%
43735       0.00%
52383       0.00%
4509        0.00%
174823      0.00%
279275      0.00%
557886      0.00%
36543       0.00%
4558        0.00%
315391      0.00%
33775       0.00%
100510      0.00%
552687      0.00%
18367       0.00%
281003      0.00%
9851        0.00%
8647        0.00%
575086      0.00%
27814       0.00%
5567        0.00%
529117      0.00%
35995       0.00%
568535      0.00%
566239      0.00%
560059      0.00%
34478       0.00%
14335       0.00%
157423      0.00%
19679       0.00%
19001       0.00%
559419      0.00%
529838      0.00%
9439        0.00%
33961       0.00%
558043      0.00%
173518      0.00%
560063      0.00%
41951       0.00%
563933      0.00%
4805        0.00%
166621      0.00%
20158       0.00%
34391       0.00%
576699      0.00%
137902      0.00%
33134       0.00%
543855      0.00%
34877       0.00%
141405      0.00%
26237       0.00%
142542      0.00%
559327      0.00%
18894       0.00%
8863        0.00%
27854       0.00%
576703      0.00%
836403      0.00%
56799       0.00%
454655      0.00%
51071       0.00%
157415      0.00%
35711       0.00%
716543      0.00%
289723      0.00%
575087      0.00%
83563       0.00%
83358       0.00%
19543       0.00%
3054        0.00%
297387      0.00%
33727       0.00%
558249      0.00%
10990       0.00%
838879      0.00%
17343       0.00%
559675      0.00%
174829      0.00%
552683      0.00%
